rank|status|study|conditions|interventions|study_type|phase|funder_type|outcome_measures|number_enrolled|nct_number|start_date
1|Recruiting|The Use of Integra in Coverage of Radial Forearm Free Flap Donor Site Defect||Device:IntegraplusSTSG;  Procedure:STSG|Interventional||Other|Donor site aesthetic quality on Vancouver Scar Scale;  Donor site functional outcomes as measured by hand strength and Range of Motion|100|NCT02980601|November 2015
2|Recruiting|Study of the Efficacy Safety &amp; Tolerability of Serlopitant for Pruritus (Itch) After Burn Injury||Drug:Serlopitant;  Drug:Placebo|Interventional|Phase 2|Industry|ItchIntensity-NumericRatingScale;  ChangeinItchIntensity-NumericRatingScale|150|NCT02975271|November 2016
3|Recruiting|Study of the Efficacy Safety and Tolerability of Serlopitant for Pruritus (Itch) in Atopic Dermatitis||Drug:SerlopitantHighDose;  Drug:PlaceboOralTablet;  Drug:SerlopitantLowDose|Interventional|Phase 2|Industry|ItchIntensity-NumericRatingScale;  ChangeinItchIntensity-NumericRatingScale|450|NCT02975206|November 2016
4|Recruiting|DaxibotulinumtoxinA for Injection for the Management of Plantar Fasciitis||Biological:BotulinumToxinsTypeA;  Biological:Placebos|Interventional|Phase 2|Industry / Other|Improvement in the American Orthopaedic Foot and Ankle Score (AOFAS);  Reduction in the visual analog pain score for the foot|60|NCT02973269|November 2016
5|Not yet recruiting|Simvastatin in Overcoming Chemotherapy Resistance in Patients With Relapsed or Refractory Multiple Myeloma||Other:LaboratoryBiomarkerAnalysis;  Other:Quality-of-LifeAssessment;  Drug:Simvastatin|Interventional||Other / NIH|Changeinfreelightchainratios;  Change in M-protein level measured using electrophoresis;  DOR;  Incidence of toxicities evaluated according to National Cancer Institute CTCAE version 4.0;  OR including stringent complete remission (CR) CR Partial Remission (PR) and very good PR;  Overallsurvival;  PFS;  QoL assessed using a survey designed by European Organization for Research and Treatment of Cancer (EORTC);  Response in patients who did and did not receive zoledronic acid with therapy;  Timetofirstresponse;  Timetonexttherapy;  TTP|35|NCT02971410|November 2016
6|Not yet recruiting|Cytarabine and Daunorubicin Hydrochloride in Treating Patients With Newly Diagnosed Acute Myeloid Leukemia||Procedure:BoneMarrowAspirationandBiopsy;  Drug:Cytarabine;  Drug:DaunorubicinHydrochloride;  Other:LaboratoryBiomarkerAnalysis|Interventional||Other / NIH|Change in incidence of cardiac toxicity defined as reduction in LVEF of &gt;= 10% compared to baseline LVEF and EF =&lt; 50% on the follow-up scan assessed using MRI;  Incidence of other unexpected toxicities measured by Common Terminology Criteria for Adverse Events version 4.0;  Proportion of patients who complete the infusion therapy;  Proportion of patients with study-related deviations;  Change in incidence of cardiac toxicity defined as reduction in LVEF of &gt;= 10% compared to baseline LVEF and EF =&lt; 50% on the follow-up scan assessed using ECHO;  ChangeinEFassessedbyMRIandECHO;  Change in incidence of cardiac toxicity defined as reduction in LVEF of &gt;= 10% compared to baseline LVEF and EF =&lt; 50% on the follow-up scan assessed using MRI and ECHO;  Change in left ventricular end diastolic volume assessed by MRI and ECHO;  Change in left ventricular end systolic volume assessed by MRI and ECHO;  Change in myocardial strain assessed by MRI and ECHO;  Disease-free survival for those patients who achieve remission;  Inductiondeathrate;  OverallresponseratedefinedasCR+CRi|40|NCT02971397|November 2016
7|Not yet recruiting|I HEAL for Breast Cancer Survivors With Diabetes||Behavioral: Diabetes Coping Skills Training (DCST)|Interventional||Other|Changeinphysicalsymptoms;  Changeinpsychologicaldistress;  Accessing change in Diabetes self-management behaviors via self reported medication adherence;  Accessing change in Diabetes self-management behavior via Barriers to taking medication;  Accessing change in Diabetes self-management behavior via Adherence to diabetes self-management behaviors;  Accessing change in Diabetes self-management behavior via Use of home blood glucose monitoring;  Improvedglycemiccontrol;  Changeinself-efficacy;  ChangeinPhysicalActivity;  AssessingchangeinPhysicalActivity|230|NCT02970344|January 2017
8|Not yet recruiting|Tranquil Moments II-CBT vs. Yoga for Worry||Behavioral:Cognitive-behavioraltherapy;  Behavioral:Yoga|Interventional||Other|PennStateWorryQuestionnaire;  PROMISAnxiety;  InsomniaSleepIndex|500|NCT02968238|May 2017
9|Recruiting|Psychosocial Stress and Aging in HIV||Behavioral:Breathe2Relax|Interventional|Phase 0|Other / NIH|Correlation of perceived stress with HIV virologic suppression;  Correlation of perceived stress with immune senescence;  Correlationofperceivedstresswithinflammation;  Correlation of perceived stress with frailty phenotype;  Feasibilityofastress-reductioncellphoneapp;  The effect of a cell phone app on stress-reduction;  Acceptability of a stress-reduction cell phone app|100|NCT02965469|May 2016
10|Not yet recruiting|A Study Promoting Critical Illness Recovery in the Elderly-- Pilot||Device:cycleergometry|Interventional||Other|Feasibility;  ShortPhysicalPerformanceBattery;  Handgripstrength;  Lengthofstay;  Healthcare utilization- ED visits and readmissions;  VentilatorFreeDays;  Mortality;  ShortForm-36;  MontrealCognitiveAssessment;  MuscleUltrasound--thicknesssizeechogenicity;  Myofibertypeandsize;  MuRF1levels;  NFkB|20|NCT02963558|November 2016
