id,airline,date,location,rating,cabin,value,recommended,review
10001,Delta Air Lines,21-Jun-14,Thailand,7,Economy,4,YES,Flew Mar 30 NRT to BKK. All flights were great. Flight was on-time and the in-flight entertainment was great. Apart from the meals - some Thai passengers cannot eat beef so the flight crews tried to ask other passengers who could eat beef and changed the meals around. We feel disappointed with their food services.
10002,Delta Air Lines,19-Jun-14,USA,0,Economy,2,NO,Flight 2463 leaving West Palm Beach (PBI) at 2.42pm on June 15 arriving at New York LaGuardia (LGA) at 5.30pm. I was slated to take flight 3997 from LaGuardia to Pittsburgh (PIT) leaving at 6.59pm arriving in Pittsburgh at 8.35pm. Every time I fly Delta I end up getting stuck in whatever airport my layover is for 12+ hours due to cancellations or delays. There is no attempt to accommodate me the customer with a hotel for the night a partial refund or even a blanket or pillow for my extended stay in the airport.
10003,Delta Air Lines,18-Jun-14,USA,0,Economy,1,NO,Delta Website froze 4 times trying to set up flight to three different locations. Had to call and set up over the phone only to find out at the curb our flights were changed with no coumarin to us. My pregnant wife and I sat for over an hour (on the curb) for them to correct the error. We flew to our next location to find the same issue with boarding. We sat outside the line for a half hour while they tried to correct before the plane flew off. I spoke to Delta and they said because of the economy they are having issues. This does not explain why they couldn't send us an e-mail showing our flights changed with new boarding passes. The worst flying experience ever. They could care less about you even if you need special attention. Check baggage fees - Delta packs the plane and charges outrageous prices for additional bags.
10004,Delta Air Lines,17-Jun-14,USA,9,Business,4,YES,"I just returned from a round-trip First/Business Elite FLL-ATL-MUC-ATL-FLL trip. I really must say that all the flights were great. Every flight was on-time the flight crews were exceptionally good the in-flight entertainment was good but could be improved the meals were good and tasty. I only wish Delta would update its meal service and add some new items. Going over to MUC the man behind me even commented to the flight attendant ""Is it the usual?"" It is always steak chicken breast pasta (no meat or fish - just pasta) and a cold plate. I've written to DL about adding fish lamb duck etc. to the rotation. (They actually had lamb on the MUC-ATL flight!) Even flight attendants say that every time they have ""fish"" it is the most ordered by passengers. I guess Michelle Bernstein has run out of ideas. That is my only suggestion to improve things in Business Elite: Get more imaginative on the meal offerings! It really isn't that difficult."
10005,Delta Air Lines,17-Jun-14,Ecuador,7,Economy,3,YES,"Round-trip flight from Quito Ecuador to Birmingham Alabama with one stop in Atlanta. The check in process was difficult since we are foreigners trying to leave the country. Nothing against Delta. The delta gate agents went through 3 security procedures before we even lined up to go to the plane. I think it was the airport's rules. I flew a Delta 757-200 to Atlanta on a red-eye flight. We took off around 11.40 pm and we started flying over the Pacific Ocean. There was no personal entertainment on this type of aircraft so we were forced to watch a movie. They started serving ""breakfast"" around 1.20 am. ""Breakfast"" was a cold turkey and mayonnaise sandwich fruit and a brownie. They took they tray away and we did not eat anything else. Around 5.00 am we started our descent into Atlanta. The landing was smooth and we soon de-boarded and headed through immigration to board our next 56 min flight to Birmingham. Atlanta airport is very confusing as to where restaurants and lounges are. We boarded our MD88 to Birmingham. Since it was an hour flight they should have served us something but the didn't. We landed in Birmingham smoothly."
10006,Delta Air Lines,17-Jun-14,USA,9,Business,5,YES,Narita - Bangkok June 13 Business Elite 747. Slight delay due to hold for other delayed inbound flights but all in all an excellent flight. Chief Purser was an experienced friendly (old school) gentleman who worked hard to insure good service. Seat was a comfortable lie flat pod offering more privacy than the first class American 777 I had just connected from. Decent food with even a light second offering before landing. Excellent entertainment options offered. I would certainly do this again.
10007,Delta Air Lines,14-Jun-14,UK,0,Economy,1,NO,Flight from NY La Guardia to Cleveland OH at 01.15am email said flight would be delayed by 2 hours. Delayed our taxi to airport by 2 hours. Got to airport to find flight now cancelled but no email communication from Delta no phone call just the pleasure of an extra 1.5 hours at the airport as they had rebooked us onto 3.20 flight. Staff no training in apologising to passengers for inconvenience - staff couldn't give a damn. Although travelling with my husband they couldn't be bothered to sit us together. So was the flight cancelled for bad weather? I don't think so. Too many additional reasons given eg staff not able to fly as on duty too long etc. We then discovered that the earlier flight had been cancelled too. Could this have been about consolidation. Advice don't travel with them if you can avoid them.
10008,Delta Air Lines,14-Jun-14,USA,0,Economy,1,NO,Originally I had a 2 hour layover. Delta changed our flights to a 4 hour layover. The plane now has been delayed another 20 minutes so my family of 6 and I are at the airport right now for a 4.5 hour layover. This is not acceptable Delta should do something about this. Fly with an airline that cares. It's surely not Delta!
10009,Delta Air Lines,13-Jun-14,USA,4,Business,2,NO,We flew paid business class fares in Delta's Business Elite LAX to SYD and SYD to LAX in the forward B/E cabin on Delta's 777-200LR. We checked in using the kiosks in Delta's terminal and went through security quickly (we are both Global Entry/Precheck). The Delta SkyClub at LAX which doubles as Delta's business class lounge was crowded noisy and inferior in all respects to the business class lounges operated by other carriers to Australia we've flown on (ANZ and QF). For what it's worth Delta uses the ANZ business class lounge in Sydney and in all respects it's superior to Delta's SkyClub. The flight was delayed. Despite Delta's explanations the real reason for the constant late departures is that Sydney's airport operates under a curfew. It's the same problem coming back to LAX as ICE/Customs don't start clearing baggage/passengers until 8am - resulting in people sitting on the plane for a fair amount of time following arrival. Once in the air the flight itself was OK. The Delta flatbed seat on the 777-200 is adequate but inferior to the seats on ANZ's 777 and the QF A380 - both of those airlines provide business class passengers with a mattress that is laid over the top of the seat when reclined. The meal service both directions was in all respects inferior to business class meal services on ANZ QF and CX. The portions are tiny and the food itself is mediocre. The cabin crew LAX to SYD was OK but the crew returning SYD- LAX was disorganized distracted and not terribly personable. Delta's AVOD system on its 777 aircraft is antiquated. The pop-out monitors will not stay upright - many passengers around us had this problem. The moving map and flight information displays need to be updated. The headphones provided by Delta are supposed to be noise cancelling but don't work well (we both use Bose Quiet Comfort 15 headphones so it really didn't matter). Given the cost of business class tickets and all things being equal the only thing Delta has going for it on its 777 service to/from SYD is the privacy and relative quiet of its herringbone seating arrangement. Otherwise based on any other criteria you choose to use Delta's product is inferior compared to the other carriers we have flown on to/from Australia and New Zealand (ANZ QF and CX). We can't recommend Delta for business class to/from Sydney.
10010,Delta Air Lines,13-Jun-14,UK,9,Economy,3,YES,"I flew from Heathrow to Seattle. To be honest I was dreading the flight as I had read some really bad reviews of Delta. But it was excellent. The seat back screens were the biggest I have seen in Economy - with a great selection of films TV shows and music. The food whilst being obviously ""airline food"" was nice enough and lots of it. They listed only one meal - lunch - on the website but they served two more rounds of snacks throughout the flight - an ok sandwich and a really nice calzone. The staff were really friendly as well. Again I was dreading the service as a lot of other reviews mentioned their bad attitude. But the ones on my flight were lovely. Not sure if this is a sign of better things to come from Delta or by the fact that the route is brand new for them but it was a great flight."
10011,Delta Air Lines,11-Jun-14,USA,10,Economy,4,YES,I was a bit stubborn about flying Delta for the first time since I'm a fan of Frontier and I don't fly very often about once every three to four years. I took flight 1531 from MSP to BWI and I was very impressed. We left on time and the crew was friendly. After this experience I am very eager to fly Delta again.
10012,Delta Air Lines,10-Jun-14,Australia,10,Economy,5,YES,JFK-LHR. Had a great on time flight out of JFK with Delta. I found the service friendly and food was great. Constantly coming through the cabin with refreshments certainly not dehydrated at the end of the flight. Only criticism was when we were coming in to land into London the cabin crew did not ask passengers to raise their closed window blinds which made me feel a little unsafe sitting in the middle seats as I couldn't see what was going on outside during landing. The flight attendant told me after it's not US policy to raise the window blinds Delta why not just make it part of your safety policy. Would fly them again.
10013,Delta Air Lines,9-Jun-14,USA,0,Economy,1,NO,My wife and I fly frequently and over the last couple of years have found ourselves on Delta a couple of times. Each of the prior trips found delays once missing a connecting flight due directly to the incompetence of Delta personnel. I wrote this off I. The past but today is the final straw. We flew from San Antonio to Atlanta to catch a connecting flight to Milan for a long awaited vacation. As we were boarding the 767 in Atlanta I noticed the port engine nacelle was open. Once we were buckled in the captain announced that maintenance was waiting on a part and it would take up to an hour to depart. An hour goes by and they have the part but they can't get it installed. Another hour goes by. They're still trying to fix it. More excuses more delays. Never again Delta this was strike three!
10014,Delta Air Lines,9-Jun-14,USA,10,Premium,5,YES,DL 1134 PBI-ATL. Great ground experience. Inbound flight late prior to equipment arrival gate agents asked for volunteers to check baggage at no charge to destination to speed up boarding and ease overheads. Turn around was 25 minutes gate arrival-departure. Plane was clean crew greeted boarding passengers with genuine smiles. They assisted loading overheads with no attitude. In flight they chatted with passengers. Crew even made the cart in aisle/trip to lav a pleasant game of I move/you move. I was in a time warp. Flying was fun. Three more flights on Delta that week were routine but what an experience this one flight was.
10015,Delta Air Lines,6-Jun-14,USA,0,Economy,2,NO,Our flight from Fairbanks to Minneapolis was a great flight with great service. On our return flights the service was great. However the flight was very hot. Multiple passengers complained and nothing was done on 2 separate flights. Given a choice I will not fly Delta again I didn't appreciate the two four hour sauna flights. I was dressed in sandals shorts T shirt.
10016,Delta Air Lines,5-Jun-14,USA,0,Economy,1,NO,On May 22 after a 6-hour delay 5 alerts and us waiting with hope at the terminal flight 5030 to Atlanta was canceled. And as per airport security and Delta counter the flight was canceled due to radar failure. This cancellation caused us to miss our connecting flight to Lima Peru. On same day Delta re-booked flight to Atlanta departing from another airport and for a later time. To get to this airport cost us $175.00. However once at the airport we begged to Delta to get us on a flight to Lima Peru instead Delta personnel there and over the phone made a mockery of our request by pretending to help us when in reality they were just wasting our time. In the meantime our newly re-booked flight was delayed for approximate 3 hrs and we arrived to Atlanta at midnight. Next day on 05/23 we finally traveled to Lima Peru but it was too late. We will never consider Delta for future travel.
